lat_deg,lon_deg
39,-76.5
39.00001802,-76.5
39.00003603,-76.5
39.00005405,-76.5
39.00007206,-76.5
39.00009008,-76.5
39.00010809,-76.5
39.00012611,-76.5
39.00014412,-76.5
39.00016214,-76.5
39.00018016,-76.5
39.00019817,-76.5
39.00021619,-76.5
39.0002342,-76.5
39.00025222,-76.5
39.00027023,-76.5
39.00028825,-76.5
39.00030626,-76.5
39.00032428,-76.5
39.00034229,-76.5
39.00036031,-76.5
39.00037833,-76.5
39.00039634,-76.5
39.00041436,-76.5
39.00043237,-76.5
39.00045039,-76.5
39.0004684,-76.5
39.00048642,-76.5
39.00050443,-76.5
39.00052245,-76.5
39.00054047,-76.5
39.00055848,-76.5
39.0005765,-76.5
39.00059451,-76.5
39.00061253,-76.5
39.00063054,-76.5
39.00064856,-76.5
39.00066657,-76.5
39.00068459,-76.5
39.0007026,-76.5
39.00072062,-76.5
39.00073864,-76.5
39.00075665,-76.5
39.00077467,-76.5
39.00079268,-76.5
39.0008107,-76.5
39.00082871,-76.5
39.00084673,-76.5
39.00086474,-76.5
39.00088276,-76.5
39.00090078,-76.5
39.00090078,-76.5
39.00091879,-76.5
39.00093681,-76.5
39.00095482,-76.5
39.00097284,-76.5
39.00099085,-76.5
39.00100887,-76.5
39.00102688,-76.5
39.0010449,-76.5
39.00106291,-76.5
39.00108093,-76.5
39.00109895,-76.5
39.00111696,-76.5
39.00113498,-76.5
39.00115299,-76.5
39.00117101,-76.5
39.00118902,-76.5
39.00120704,-76.5
39.00122505,-76.5
39.00124307,-76.5
39.00126109,-76.5
39.0012791,-76.5
39.00129712,-76.5
39.00131513,-76.5
39.00133315,-76.5
39.00135116,-76.5
39.00136918,-76.5
39.00138719,-76.5
39.00140521,-76.5
39.00142322,-76.5
39.00144124,-76.5
39.00145926,-76.5
39.00147727,-76.5
39.00149529,-76.5
39.0015133,-76.5
39.00153132,-76.5
39.00154933,-76.5
39.00156735,-76.5
39.00158536,-76.5
39.00160338,-76.5
39.0016214,-76.5
39.00163941,-76.5
39.00165743,-76.5
39.00167544,-76.5
39.00169346,-76.5
39.00171147,-76.5
39.00172949,-76.5
39.0017475,-76.5
39.00176552,-76.5
39.00178353,-76.5
39.00180155,-76.5
39.00181957,-76.5
39.00183758,-76.5
39.0018556,-76.5
39.00187361,-76.5
39.00189163,-76.5
39.00190964,-76.5
39.00192766,-76.5
39.00194567,-76.5
39.00196369,-76.5
39.00198171,-76.5
39.00199972,-76.5
39.00201774,-76.5
39.00203575,-76.5
39.00205377,-76.5
39.00207178,-76.5
39.0020898,-76.5
39.00210781,-76.5
39.00212583,-76.5
39.00214384,-76.5
39.00216186,-76.5
39.00217988,-76.5
39.00219789,-76.5
39.00221591,-76.5
39.00223392,-76.5
39.00225194,-76.5
39.00226995,-76.5
39.00228797,-76.5
39.00230598,-76.5
39.002324,-76.5
39.00234202,-76.5
39.00236003,-76.5
39.00237805,-76.5
39.00239606,-76.5
39.00241408,-76.5
39.00243209,-76.5
39.00245011,-76.5
39.00246812,-76.5
39.00248614,-76.5
39.00250415,-76.5
39.00252217,-76.5
39.00254019,-76.5
39.0025582,-76.5
39.00257622,-76.5
39.00259423,-76.5
39.00261225,-76.5
39.00263026,-76.5
39.00264828,-76.5
39.00266629,-76.5
39.00268431,-76.5
39.00270233,-76.5
39.00270233,-76.5
39.00272028,-76.50000161
39.00273789,-76.50000641
39.0027548,-76.5000143
39.0027707,-76.50002513
39.00278526,-76.50003869
39.00279821,-76.50005471
39.00280929,-76.50007289
39.00281829,-76.50009287
39.00282712,-76.50011298
39.00283803,-76.50013132
39.00285083,-76.50014754
39.00286527,-76.50016132
39.00288107,-76.50017238
39.00289791,-76.50018053
39.00291547,-76.50018559
39.00293341,-76.50018746
39.00295138,-76.50018612
39.00296903,-76.50018159
39.00298602,-76.50017395
39.00300201,-76.50016336
39.0030167,-76.50015001
39.00302979,-76.50013418
39.00304104,-76.50011617
39.00305022,-76.50009633
39.00305715,-76.50007504
39.00306171,-76.50005272
39.0030638,-76.50002981
39.00306338,-76.50000674
39.00306046,-76.49998398
39.0030551,-76.49996196
39.0030474,-76.49994111
39.00303751,-76.49992183
39.00302562,-76.49990451
39.00301196,-76.49988947
39.00299681,-76.49987702
39.00298045,-76.4998674
39.00296321,-76.49986078
39.00294541,-76.4998573
39.00292741,-76.49985703
39.00290956,-76.49985998
39.0028922,-76.49986608
39.00287546,-76.4998746
39.00285815,-76.49988095
39.00284033,-76.49988416
39.00282232,-76.49988456
39.0028043,-76.49988456
39.00278629,-76.49988456
39.00276827,-76.49988456
39.00275026,-76.49988456
39.00273224,-76.49988456
39.00271423,-76.49988456
39.00270233,-76.49988456
39.00270233,-76.49988456
39.00268431,-76.49988456
39.00266629,-76.49988456
39.00264828,-76.49988456
39.00263026,-76.49988456
39.00261225,-76.49988456
39.00259423,-76.49988456
39.00257622,-76.49988456
39.0025582,-76.49988456
39.00254019,-76.49988456
39.00252217,-76.49988456
39.00250415,-76.49988456
39.00248614,-76.49988456
39.00246812,-76.49988456
39.00245011,-76.49988456
39.00243209,-76.49988456
39.00241408,-76.49988456
39.00239606,-76.49988456
39.00237805,-76.49988456
39.00236003,-76.49988456
39.00234202,-76.49988456
39.002324,-76.49988456
39.00230598,-76.49988456
39.00228797,-76.49988456
39.00226995,-76.49988456
39.00225194,-76.49988456
39.00223392,-76.49988456
39.00221591,-76.49988456
39.00219789,-76.49988456
39.00217988,-76.49988456
39.00216186,-76.49988456
39.00214384,-76.49988456
39.00212583,-76.49988456
39.00210781,-76.49988456
39.0020898,-76.49988456
39.00207178,-76.49988456
39.00205377,-76.49988456
39.00203575,-76.49988456
39.00201774,-76.49988456
39.00199972,-76.49988456
39.00198171,-76.49988456
39.00196369,-76.49988456
39.00194567,-76.49988456
39.00192766,-76.49988456
39.00190964,-76.49988456
39.00189163,-76.49988456
39.00187361,-76.49988456
39.0018556,-76.49988456
39.00183758,-76.49988456
39.00181957,-76.49988456
39.00180155,-76.49988456
39.00178353,-76.49988456
39.00176552,-76.49988456
39.0017475,-76.49988456
39.00172949,-76.49988456
39.00171147,-76.49988456
39.00169346,-76.49988456
39.00167544,-76.49988456
39.00165743,-76.49988456
39.00163941,-76.49988456
39.0016214,-76.49988456
39.00160338,-76.49988456
39.00158536,-76.49988456
39.00156735,-76.49988456
39.00154933,-76.49988456
39.00153132,-76.49988456
39.0015133,-76.49988456
39.00149529,-76.49988456
39.00147727,-76.49988456
39.00145926,-76.49988456
39.00144124,-76.49988456
39.00142322,-76.49988456
39.00140521,-76.49988456
39.00138719,-76.49988456
39.00136918,-76.49988456
39.00135116,-76.49988456
39.00133315,-76.49988456
